GeneSymbol,FC,pval,BioID,cell
Auts2,1.39668,0.02297152,NL1,Astrocyte
Nova2,-1.094635,0.3197481,NL1,Astrocyte
Cirop,1.431698,0.3912839,NL1,Astrocyte
Cul4b,-1.156481,0.07764426,NL1,Astrocyte
Dhx8,-1.434512,0.1016336,NL1,Astrocyte
Arfgef2,-1.121413,0.1838223,NL1,Astrocyte
Smurf2,2.055735,0.007668259,NL1,Astrocyte
Tanc2,1.435666,0.01648418,NL1,Astrocyte
Fam171a2,1.028793,0.7755086,NL1,Astrocyte
Gpatch8,2.1944,0.3274178,NL1,Astrocyte
Cdc27,-1.442784,0.02581056,NL1,Astrocyte
Zmym4,-1.322575,0.1136908,NL1,Astrocyte
Kiaa1522,1.008319,0.8973164,NL1,Astrocyte
Ptprf,3.540034,0.0004594394,NL1,Astrocyte
Osbpl9,-1.049745,0.3314782,NL1,Astrocyte
Szt2,-1.411098,0.1976139,NL1,Astrocyte
Kiaa1109,1.197925,0.6444164,NL1,Astrocyte
Sh3pxd2b,-1.76833,0.00405481,NL1,Astrocyte
Med14,1.316877,0.1124235,NL1,Astrocyte
Faap100,1.50195,0.4923879,NL1,Astrocyte
Ddi2,1.105973,0.3202418,NL1,Astrocyte
Ccdc120,-6.640298,0.0003875881,NL1,Astrocyte
Dock11,1.068965,0.7558087,NL1,Astrocyte
Frmpd4,1.046703,0.5207106,NL1,Astrocyte
Elapor1,-1.007057,0.9194866,NL1,Astrocyte
Map7d2,-7.073733,0.1854081,NL1,Astrocyte
Ckap5,-2.005734,0.000531924,NL1,Astrocyte
Camsap1,-1.324137,0.1881638,NL1,Astrocyte
Lzts3,-1.034135,0.8057277,NL1,Astrocyte
Ano3,1.202505,0.2297259,NL1,Astrocyte
Tprn,-1.419129,0.04683234,NL1,Astrocyte
Grin3a,-1.180007,0.3249495,NL1,Astrocyte
Man1b1,1.397794,0.2396514,NL1,Astrocyte
Pnpla7,-2.483073,0.001443254,NL1,Astrocyte
Ajm1,1.556316,0.02007444,NL1,Astrocyte
Map7d1,-3.273852,0.001343613,NL1,Astrocyte
Fggy,-1.428032,0.1509023,NL1,Astrocyte
Frmpd1,-1.174762,0.5742921,NL1,Astrocyte
Ajap1,-1.651272,0.06268221,NL1,Astrocyte
