gs_long,counts,condition
Auts2,NA,NL2_A
Nova2,38571.390179016,NL2_A
Cirop,NA,NL2_A
Cul4b,1482860.84360626,NL2_A
Dhx8,NA,NL2_A
Arfgef2,NA,NL2_A
Smurf2,NA,NL2_A
Tanc2,1009387.31545314,NL2_A
Fam171a2,2474612.30359312,NL2_A
Gpatch8,NA,NL2_A
Cdc27,NA,NL2_A
Zmym4,NA,NL2_A
Kiaa1522,NA,NL2_A
Ptprf,771681.347441247,NL2_A
Osbpl9,581616.57650853,NL2_A
Szt2,NA,NL2_A
Kiaa1109,NA,NL2_A
Sh3pxd2b,4470462.11168987,NL2_A
Med14,NA,NL2_A
Faap100,NA,NL2_A
Ddi2,NA,NL2_A
Ccdc120,NA,NL2_A
Dock11,136333.162020467,NL2_A
Frmpd4,NA,NL2_A
Elapor1,NA,NL2_A
Map7d2,NA,NL2_A
Ckap5,2655531.26346555,NL2_A
Camsap1,208699.485214609,NL2_A
Lzts3,NA,NL2_A
Ano3,NA,NL2_A
Tprn,NA,NL2_A
Grin3a,NA,NL2_A
Man1b1,NA,NL2_A
Pnpla7,420975.102133224,NL2_A
Ajm1,NA,NL2_A
Map7d1,910099.299938876,NL2_A
Fggy,NA,NL2_A
Frmpd1,1985884.73124174,NL2_A
Ajap1,NA,NL2_A
Rap1gap,2442597.85355256,NL2_A
Shroom2,3221841.48493297,NL2_A
Ubr4,8987753.73495822,NL2_A
Syndig1,NA,NL2_A
Plch2,NA,NL2_A
Klhdc7a,272147.653697349,NL2_A
Fmnl2,69625866.8909159,NL2_A
Scn1a,NA,NL2_A
Tubb1,NA,NL2_A
Skt,16677358.2221518,NL2_A
Ralgps1,NA,NL2_A
Ppip5k1,NA,NL2_A
Ankrd63,NA,NL2_A
Fsip2,NA,NL2_A
Scn3a,NA,NL2_A
Agrn,NA,NL2_A
Ttn,NA,NL2_A
Slc25a25,271153.271914091,NL2_A
Rabgap1,2816666.58155811,NL2_A
Arhgef10l,188261.616469337,NL2_A
Mocs3,761598.291129968,NL2_A
Las1l,NA,NL2_A
Arid1a,NA,NL2_A
Kalrn,3048665.22120552,NL2_A
Uhrf1bp1l,29910412.2064561,NL2_A
Dennd5b,NA,NL2_A
Tyw5,NA,NL2_A
Fbxl16,7202406.94237279,NL2_A
Palm3,NA,NL2_A
Chd6,431554.473908744,NL2_A
Nt5c1a,NA,NL2_A
Tbc1d8b,NA,NL2_A
Plcb2,2340894.99487073,NL2_A
Ralgapa2,NA,NL2_A
Ttc38,NA,NL2_A
Exoc6b,NA,NL2_A
Nwd1,16399.9966181359,NL2_A
Mipep,NA,NL2_A
Armt1,NA,NL2_A
Rabgap1l,339864.406617847,NL2_A
Dennd4c,7260232.08439666,NL2_A
Kcnb2,NA,NL2_A
