gs_long2,pct,condition2,cell,BioID
Auts2,NA,NL2_A,Astrocyte,NL2
Nova2,3,NL2_A,Astrocyte,NL2
Cirop,NA,NL2_A,Astrocyte,NL2
Cul4b,38,NL2_A,Astrocyte,NL2
Dhx8,NA,NL2_A,Astrocyte,NL2
Arfgef2,NA,NL2_A,Astrocyte,NL2
Smurf2,NA,NL2_A,Astrocyte,NL2
Tanc2,34,NL2_A,Astrocyte,NL2
Fam171a2,50,NL2_A,Astrocyte,NL2
Gpatch8,NA,NL2_A,Astrocyte,NL2
Cdc27,NA,NL2_A,Astrocyte,NL2
Zmym4,NA,NL2_A,Astrocyte,NL2
Kiaa1522,NA,NL2_A,Astrocyte,NL2
Ptprf,35,NL2_A,Astrocyte,NL2
Osbpl9,29,NL2_A,Astrocyte,NL2
Szt2,NA,NL2_A,Astrocyte,NL2
Kiaa1109,NA,NL2_A,Astrocyte,NL2
Sh3pxd2b,64,NL2_A,Astrocyte,NL2
Med14,NA,NL2_A,Astrocyte,NL2
Faap100,NA,NL2_A,Astrocyte,NL2
Ddi2,NA,NL2_A,Astrocyte,NL2
Ccdc120,NA,NL2_A,Astrocyte,NL2
Dock11,17,NL2_A,Astrocyte,NL2
Frmpd4,NA,NL2_A,Astrocyte,NL2
Elapor1,NA,NL2_A,Astrocyte,NL2
Map7d2,NA,NL2_A,Astrocyte,NL2
Ckap5,54,NL2_A,Astrocyte,NL2
Camsap1,11,NL2_A,Astrocyte,NL2
Lzts3,NA,NL2_A,Astrocyte,NL2
Ano3,NA,NL2_A,Astrocyte,NL2
Tprn,NA,NL2_A,Astrocyte,NL2
Grin3a,NA,NL2_A,Astrocyte,NL2
Man1b1,NA,NL2_A,Astrocyte,NL2
Pnpla7,25,NL2_A,Astrocyte,NL2
Ajm1,NA,NL2_A,Astrocyte,NL2
Map7d1,38,NL2_A,Astrocyte,NL2
Fggy,NA,NL2_A,Astrocyte,NL2
Frmpd1,58,NL2_A,Astrocyte,NL2
Ajap1,NA,NL2_A,Astrocyte,NL2
Rap1gap,48,NL2_A,Astrocyte,NL2
Shroom2,56,NL2_A,Astrocyte,NL2
Ubr4,72,NL2_A,Astrocyte,NL2
Syndig1,NA,NL2_A,Astrocyte,NL2
Plch2,NA,NL2_A,Astrocyte,NL2
Klhdc7a,26,NL2_A,Astrocyte,NL2
Fmnl2,95,NL2_A,Astrocyte,NL2
Scn1a,NA,NL2_A,Astrocyte,NL2
Tubb1,NA,NL2_A,Astrocyte,NL2
Skt,82,NL2_A,Astrocyte,NL2
Ralgps1,NA,NL2_A,Astrocyte,NL2
Ppip5k1,NA,NL2_A,Astrocyte,NL2
Ankrd63,NA,NL2_A,Astrocyte,NL2
Fsip2,NA,NL2_A,Astrocyte,NL2
Scn3a,NA,NL2_A,Astrocyte,NL2
Agrn,NA,NL2_A,Astrocyte,NL2
Ttn,NA,NL2_A,Astrocyte,NL2
Slc25a25,19,NL2_A,Astrocyte,NL2
Rabgap1,56,NL2_A,Astrocyte,NL2
Arhgef10l,7,NL2_A,Astrocyte,NL2
Mocs3,31,NL2_A,Astrocyte,NL2
Las1l,NA,NL2_A,Astrocyte,NL2
Arid1a,NA,NL2_A,Astrocyte,NL2
Kalrn,60,NL2_A,Astrocyte,NL2
Uhrf1bp1l,89,NL2_A,Astrocyte,NL2
Dennd5b,NA,NL2_A,Astrocyte,NL2
Tyw5,NA,NL2_A,Astrocyte,NL2
Fbxl16,70,NL2_A,Astrocyte,NL2
Palm3,NA,NL2_A,Astrocyte,NL2
Chd6,23,NL2_A,Astrocyte,NL2
Nt5c1a,NA,NL2_A,Astrocyte,NL2
Tbc1d8b,NA,NL2_A,Astrocyte,NL2
Plcb2,53,NL2_A,Astrocyte,NL2
Ralgapa2,NA,NL2_A,Astrocyte,NL2
Ttc38,NA,NL2_A,Astrocyte,NL2
Exoc6b,NA,NL2_A,Astrocyte,NL2
Nwd1,5,NL2_A,Astrocyte,NL2
Mipep,NA,NL2_A,Astrocyte,NL2
Armt1,NA,NL2_A,Astrocyte,NL2
Rabgap1l,26,NL2_A,Astrocyte,NL2
Dennd4c,73,NL2_A,Astrocyte,NL2
Kcnb2,NA,NL2_A,Astrocyte,NL2
Arhgap31,70,NL2_A,Astrocyte,NL2
Dpy19l1,54,NL2_A,Astrocyte,NL2
Tmem215,NA,NL2_A,Astrocyte,NL2
Rnls,NA,NL2_A,Astrocyte,NL2
Sec14l1,NA,NL2_A,Astrocyte,NL2
Vwa5b1,NA,NL2_A,Astrocyte,NL2
Nlgn4l,NA,NL2_A,Astrocyte,NL2
Ptprs,55,NL2_A,Astrocyte,NL2
Krt36,NA,NL2_A,Astrocyte,NL2
Cisd3,NA,NL2_A,Astrocyte,NL2
Grik3,NA,NL2_A,Astrocyte,NL2
Ptpru,NA,NL2_A,Astrocyte,NL2
Kif16b,NA,NL2_A,Astrocyte,NL2
Uprt,2,NL2_A,Astrocyte,NL2
Scn2a,91,NL2_A,Astrocyte,NL2
Nhsl2,NA,NL2_A,Astrocyte,NL2
Frrs1l,29,NL2_A,Astrocyte,NL2
Nfx1,NA,NL2_A,Astrocyte,NL2
Usp24,51,NL2_A,Astrocyte,NL2
Thoc2,NA,NL2_A,Astrocyte,NL2
Dlgap4,36,NL2_A,Astrocyte,NL2
Cad,20,NL2_A,Astrocyte,NL2
Arhgap42,NA,NL2_A,Astrocyte,NL2
Ythdc2,5,NL2_A,Astrocyte,NL2
Gnai1,73,NL2_A,Astrocyte,NL2
Apba1,NA,NL2_A,Astrocyte,NL2
Otud7b,10,NL2_A,Astrocyte,NL2
Tmem240,NA,NL2_A,Astrocyte,NL2
Tut4,NA,NL2_A,Astrocyte,NL2
Plcxd2,NA,NL2_A,Astrocyte,NL2
Trappc11,NA,NL2_A,Astrocyte,NL2
Ankrd44,NA,NL2_A,Astrocyte,NL2
Plxnb2,15,NL2_A,Astrocyte,NL2
Rbm25,19,NL2_A,Astrocyte,NL2
Ildr2,29,NL2_A,Astrocyte,NL2
Kif7,NA,NL2_A,Astrocyte,NL2
Qtrt2,NA,NL2_A,Astrocyte,NL2
Clip3,NA,NL2_A,Astrocyte,NL2
Pdzd8,57,NL2_A,Astrocyte,NL2
Osbpl8,43,NL2_A,Astrocyte,NL2
Cttnbp2,21,NL2_A,Astrocyte,NL2
Tmf1,NA,NL2_A,Astrocyte,NL2
Ptprz1,59,NL2_A,Astrocyte,NL2
Arxes1,NA,NL2_A,Astrocyte,NL2
H2ac8,59,NL2_A,Astrocyte,NL2
Zbed6,NA,NL2_A,Astrocyte,NL2
Akap5,32,NL2_A,Astrocyte,NL2
Dgki,12,NL2_A,Astrocyte,NL2
Dgkh,NA,NL2_A,Astrocyte,NL2
Safb,27,NL2_A,Astrocyte,NL2
Obsl1,NA,NL2_A,Astrocyte,NL2
Mthfd2l,NA,NL2_A,Astrocyte,NL2
Pgbd5,54,NL2_A,Astrocyte,NL2
Ccdc6,38,NL2_A,Astrocyte,NL2
Shank1,31,NL2_A,Astrocyte,NL2
Ccdc8,NA,NL2_A,Astrocyte,NL2
Gsg1l,NA,NL2_A,Astrocyte,NL2
Gls,84,NL2_A,Astrocyte,NL2
Soga1,NA,NL2_A,Astrocyte,NL2
Prrt2,NA,NL2_A,Astrocyte,NL2
Dgkd,NA,NL2_A,Astrocyte,NL2
Fga,NA,NL2_A,Astrocyte,NL2
Mctp1,NA,NL2_A,Astrocyte,NL2
Gcn1,33,NL2_A,Astrocyte,NL2
Dchs1,NA,NL2_A,Astrocyte,NL2
Sbf2,33,NL2_A,Astrocyte,NL2
Ift140,NA,NL2_A,Astrocyte,NL2
Igsf9b,NA,NL2_A,Astrocyte,NL2
Ascc3,NA,NL2_A,Astrocyte,NL2
Tex264,NA,NL2_A,Astrocyte,NL2
Abcc4,NA,NL2_A,Astrocyte,NL2
C2cd2,NA,NL2_A,Astrocyte,NL2
Pi4ka,74,NL2_A,Astrocyte,NL2
Ryr2,18,NL2_A,Astrocyte,NL2
Arid1b,NA,NL2_A,Astrocyte,NL2
Wdfy1,NA,NL2_A,Astrocyte,NL2
Pde8b,NA,NL2_A,Astrocyte,NL2
Acacb,NA,NL2_A,Astrocyte,NL2
