GeneSymbol,FC,pval,sd,BioID,cell
Auts2,1.39668,0.0995936294736842,0.282919915276429,NL1,Astrocyte
Nova2,-1.094635,0.46272631984628,0.153281559110895,NL1,Astrocyte
Cirop,1.431698,0.528529008660005,2.82986047480542,NL1,Astrocyte
Cul4b,-1.156481,0.192945152188235,0.0497827953714156,NL1,Astrocyte
Dhx8,-1.434512,0.226209473524452,0.0573452278758983,NL1,Astrocyte
Arfgef2,-1.121413,0.324986977062374,0.0685440588360749,NL1,Astrocyte
Smurf2,2.055735,0.0557614640662069,0.566863585682728,NL1,Astrocyte
Tanc2,1.435666,0.0829375646564885,0.240050970347244,NL1,Astrocyte
Fam171a2,1.028793,0.845195532699463,0.178529684512612,NL1,Astrocyte
Gpatch8,2.1944,0.470339684359673,0.96591034338791,NL1,Astrocyte
Cdc27,-1.442784,0.104430753891021,0.130187525409906,NL1,Astrocyte
Zmym4,-1.322575,0.24110140096463,0.0978032367609466,NL1,Astrocyte
Kiaa1522,1.008319,0.933619905427275,0.604375078449231,NL1,Astrocyte
Ptprf,3.540034,0.0175519167884058,0.37926261529689,NL1,Astrocyte
Osbpl9,-1.049745,0.475265996845254,0.044122660666402,NL1,Astrocyte
Szt2,-1.411098,0.3411330978389,0.207301868299765,NL1,Astrocyte
Kiaa1109,1.197925,0.745689916769096,0.416001996968151,NL1,Astrocyte
Sh3pxd2b,-1.76833,0.0412825181312741,0.0146431692942512,NL1,Astrocyte
Med14,1.316877,0.239770943573161,0.38451530908702,NL1,Astrocyte
Faap100,1.50195,0.614765635425053,1.28959968717589,NL1,Astrocyte
Ddi2,1.105973,0.463186493717421,0.213954517031714,NL1,Astrocyte
Ccdc120,-6.640298,0.0168206846113821,0.0482901663040361,NL1,Astrocyte
Dock11,1.068965,0.83099550915537,0.284445878969649,NL1,Astrocyte
Frmpd4,1.046703,0.640052758964794,0.154716158577964,NL1,Astrocyte
Elapor1,-1.007057,0.946383481085301,0.0792795038195639,NL1,Astrocyte
Map7d2,-7.073733,0.327027151555704,0.289592460192729,NL1,Astrocyte
Ckap5,-2.005734,0.0185715452185431,0.0158053628054635,NL1,Astrocyte
Camsap1,-1.324137,0.329787085638298,0.299076195740054,NL1,Astrocyte
Lzts3,-1.034135,0.867941799550562,0.328702550861876,NL1,Astrocyte
Ano3,1.202505,0.37414055416924,0.351210679303996,NL1,Astrocyte
Tprn,-1.419129,0.14609473164497,0.113773568689552,NL1,Astrocyte
Grin3a,-1.180007,0.467813698525396,0.133758131042122,NL1,Astrocyte
Man1b1,1.397794,0.385078384882658,0.28566406060944,NL1,Astrocyte
Pnpla7,-2.483073,0.0262373623724138,0.0699549357197654,NL1,Astrocyte
Ajm1,1.556316,0.0919359001388889,0.328140642885379,NL1,Astrocyte
Map7d1,-3.273852,0.0254770817204301,0.0629215813944179,NL1,Astrocyte
Fggy,-1.428032,0.289188268120683,0.28157622211586,NL1,Astrocyte
Frmpd1,-1.174762,0.683292248070413,0.532353699305362,NL1,Astrocyte
Ajap1,-1.651272,0.171578718130841,0.0947470841791043,NL1,Astrocyte
Rap1gap,-1.003151,0.94843197817615,0.0900144136809903,NL1,Astrocyte
Shroom2,-1.649746,0.0625658067535121,0.0355765392891213,NL1,Astrocyte
Ubr4,-1.343455,0.141269570295566,0.09814117199362,NL1,Astrocyte
Syndig1,-1.700152,0.120011424849755,0.2082170569246,NL1,Astrocyte
Plch2,1.331016,0.0496990608454259,0.0471267927435144,NL1,Astrocyte
Klhdc7a,-2.643698,0.0158548685660377,0.0482071603019283,NL1,Astrocyte
Fmnl2,1.269667,0.121975365856354,0.145293417493391,NL1,Astrocyte
Scn1a,1.251471,0.102510019685535,0.116248286259121,NL1,Astrocyte
Tubb1,1.16634,0.546819399849057,0.209402756956391,NL1,Astrocyte
Skt,1.045947,0.72561317438511,0.155723004774323,NL1,Astrocyte
Ralgps1,1.387517,0.353566755868244,0.484029594474522,NL1,Astrocyte
Ppip5k1,-1.056506,0.577843358941695,0.131816006220185,NL1,Astrocyte
Ankrd63,1.278457,0.374367272278754,0.276266860030343,NL1,Astrocyte
Fsip2,1.4306,0.0933742479591837,0.184015279441135,NL1,Astrocyte
Scn3a,2.644707,0.370794326073429,11.1068684096138,NL1,Astrocyte
